Evaluation strategy,Neighbor strategy,Best Y,Num neighbors,Num. iterations,Step,Time
stochastic_selection_eval,create_exhaustive_neighbors,123936.65552492334,2,10000,10,17.972711324691772
stochastic_selection_eval,create_exhaustive_neighbors,123740.88213593385,2,10000,20,6.680482864379883
stochastic_selection_eval,create_exhaustive_neighbors,123177.45142563652,2,10000,40,1.4183998107910156
stochastic_selection_eval,create_exhaustive_neighbors,122349.73625958945,2,10000,60,0.42981791496276855
stochastic_selection_eval,create_exhaustive_neighbors,123361.23317861707,2,10000,80,0.9917209148406982
stochastic_selection_eval,create_exhaustive_neighbors,123645.1889075081,2,10000,100,1.054264783859253
stochastic_selection_eval,create_exhaustive_neighbors,123936.65552492334,2,100000,10,17.1927809715271
stochastic_selection_eval,create_exhaustive_neighbors,123920.39139837165,2,100000,20,7.880943775177002
stochastic_selection_eval,create_exhaustive_neighbors,122944.62541680672,2,100000,40,1.6627178192138672
stochastic_selection_eval,create_exhaustive_neighbors,122515.88643981992,2,100000,60,0.4281759262084961
stochastic_selection_eval,create_exhaustive_neighbors,122795.81061685883,2,100000,80,0.8319728374481201
stochastic_selection_eval,create_exhaustive_neighbors,123685.28908918337,2,100000,100,1.2099618911743164
stochastic_selection_eval,create_exhaustive_neighbors,123936.65552492334,2,1000000,10,17.909559965133667
stochastic_selection_eval,create_exhaustive_neighbors,123692.74717618461,2,1000000,20,6.502936840057373
stochastic_selection_eval,create_exhaustive_neighbors,123025.76296779781,2,1000000,40,1.548462152481079
stochastic_selection_eval,create_exhaustive_neighbors,121922.91783729574,2,1000000,60,0.2963850498199463
stochastic_selection_eval,create_exhaustive_neighbors,123379.10909720794,2,1000000,80,1.1382548809051514
stochastic_selection_eval,create_exhaustive_neighbors,123543.07799825832,2,1000000,100,1.0566742420196533
stochastic_selection_eval,create_exhaustive_neighbors,123936.65552492334,2,10000000,10,17.981851816177368
stochastic_selection_eval,create_exhaustive_neighbors,123729.36454884271,2,10000000,20,7.560418128967285
stochastic_selection_eval,create_exhaustive_neighbors,123025.76296779781,2,10000000,40,1.8390858173370361
stochastic_selection_eval,create_exhaustive_neighbors,122479.2668706507,2,10000000,60,0.4372999668121338
stochastic_selection_eval,create_exhaustive_neighbors,123267.9766496924,2,10000000,80,0.9150431156158447
stochastic_selection_eval,create_exhaustive_neighbors,123543.07799825832,2,10000000,100,0.966545820236206
