Evaluation strategy,Neighbor strategy,Best Y,Num neighbors,Num. iterations,Step,Time
greedy_selection_eval,create_multi_change_neighbors,121890.75936610943,2,10000,10,0.02341294288635254
greedy_selection_eval,create_multi_change_neighbors,121851.76954603879,4,10000,10,0.03839588165283203
greedy_selection_eval,create_multi_change_neighbors,122626.31270134774,8,10000,10,0.8866910934448242
greedy_selection_eval,create_multi_change_neighbors,123511.8006094529,16,10000,10,4.723798036575317
greedy_selection_eval,create_multi_change_neighbors,123753.28920640759,32,10000,10,12.77317190170288
greedy_selection_eval,create_multi_change_neighbors,123879.7310819928,64,10000,10,34.41548490524292
greedy_selection_eval,create_multi_change_neighbors,122007.0906735793,2,10000,20,0.03873491287231445
greedy_selection_eval,create_multi_change_neighbors,122070.90939329843,4,10000,20,0.08512592315673828
greedy_selection_eval,create_multi_change_neighbors,122252.49585563816,8,10000,20,0.286060094833374
greedy_selection_eval,create_multi_change_neighbors,123455.16185896953,16,10000,20,1.8595077991485596
greedy_selection_eval,create_multi_change_neighbors,123462.51889646512,32,10000,20,2.9665310382843018
greedy_selection_eval,create_multi_change_neighbors,123745.84409440582,64,10000,20,12.135290145874023
greedy_selection_eval,create_multi_change_neighbors,122110.8886625545,2,10000,40,0.03940105438232422
greedy_selection_eval,create_multi_change_neighbors,122035.74131629025,4,10000,40,0.05551886558532715
greedy_selection_eval,create_multi_change_neighbors,122443.6777282747,8,10000,40,0.13424897193908691
greedy_selection_eval,create_multi_change_neighbors,123161.10822521544,16,10000,40,0.9647328853607178
greedy_selection_eval,create_multi_change_neighbors,123149.1728657112,32,10000,40,1.3717169761657715
greedy_selection_eval,create_multi_change_neighbors,123297.77995265793,64,10000,40,4.470930099487305
greedy_selection_eval,create_multi_change_neighbors,122248.12059148742,2,10000,60,0.03206777572631836
greedy_selection_eval,create_multi_change_neighbors,122318.23884948519,4,10000,60,0.05555391311645508
greedy_selection_eval,create_multi_change_neighbors,122381.73288864456,8,10000,60,0.13388895988464355
greedy_selection_eval,create_multi_change_neighbors,122648.81114345817,16,10000,60,0.2545931339263916
greedy_selection_eval,create_multi_change_neighbors,122886.43986859976,32,10000,60,0.872840166091919
greedy_selection_eval,create_multi_change_neighbors,122709.5808760579,64,10000,60,0.9951751232147217
greedy_selection_eval,create_multi_change_neighbors,121782.65765252206,2,10000,80,0.015758991241455078
greedy_selection_eval,create_multi_change_neighbors,122679.61082419599,4,10000,80,0.08519196510314941
greedy_selection_eval,create_multi_change_neighbors,122948.33649320636,8,10000,80,0.1940300464630127
greedy_selection_eval,create_multi_change_neighbors,122715.01793355943,16,10000,80,0.31520676612854004
greedy_selection_eval,create_multi_change_neighbors,122723.29881088846,32,10000,80,0.50180983543396
greedy_selection_eval,create_multi_change_neighbors,123137.34120876588,64,10000,80,1.738173246383667
greedy_selection_eval,create_multi_change_neighbors,121782.65765252206,2,10000,100,0.015416145324707031
greedy_selection_eval,create_multi_change_neighbors,121971.35104292873,4,10000,100,0.0387420654296875
greedy_selection_eval,create_multi_change_neighbors,122261.61353009638,8,10000,100,0.16284918785095215
greedy_selection_eval,create_multi_change_neighbors,123523.02799107364,16,10000,100,0.6891379356384277
greedy_selection_eval,create_multi_change_neighbors,123707.19963508149,32,10000,100,1.6101140975952148
greedy_selection_eval,create_multi_change_neighbors,123787.39999843219,64,10000,100,3.718641996383667
greedy_selection_eval,create_multi_change_neighbors,121957.80445739385,2,100000,10,0.055296897888183594
greedy_selection_eval,create_multi_change_neighbors,122699.84573625123,4,100000,10,0.4781160354614258
greedy_selection_eval,create_multi_change_neighbors,123014.88891545002,8,100000,10,0.9386351108551025
greedy_selection_eval,create_multi_change_neighbors,123356.21632162796,16,100000,10,3.1567070484161377
greedy_selection_eval,create_multi_change_neighbors,123518.23431217587,32,100000,10,7.575840950012207
greedy_selection_eval,create_multi_change_neighbors,123698.50592601285,64,100000,10,21.149641036987305
greedy_selection_eval,create_multi_change_neighbors,121890.79638133026,2,100000,20,0.030910968780517578
greedy_selection_eval,create_multi_change_neighbors,121937.24451352177,4,100000,20,0.03852486610412598
greedy_selection_eval,create_multi_change_neighbors,123263.83033907309,8,100000,20,0.7815442085266113
greedy_selection_eval,create_multi_change_neighbors,123456.93136278888,16,100000,20,1.9229786396026611
greedy_selection_eval,create_multi_change_neighbors,123660.35096737166,32,100000,20,5.8103368282318115
greedy_selection_eval,create_multi_change_neighbors,123851.301311245,64,100000,20,14.727925062179565
greedy_selection_eval,create_multi_change_neighbors,121782.65765252206,2,100000,40,0.015471935272216797
greedy_selection_eval,create_multi_change_neighbors,122723.97631422643,4,100000,40,0.17814207077026367
greedy_selection_eval,create_multi_change_neighbors,122138.9201694638,8,100000,40,0.10131216049194336
greedy_selection_eval,create_multi_change_neighbors,122966.50800620616,16,100000,40,0.688244104385376
greedy_selection_eval,create_multi_change_neighbors,123207.527758875,32,100000,40,1.986558198928833
greedy_selection_eval,create_multi_change_neighbors,123296.56811554193,64,100000,40,4.453330993652344
greedy_selection_eval,create_multi_change_neighbors,121782.65765252206,2,100000,60,0.015266895294189453
greedy_selection_eval,create_multi_change_neighbors,122138.38830682282,4,100000,60,0.06879997253417969
greedy_selection_eval,create_multi_change_neighbors,122332.75665779973,8,100000,60,0.0687401294708252
greedy_selection_eval,create_multi_change_neighbors,122625.65195929751,16,100000,60,0.438323974609375
greedy_selection_eval,create_multi_change_neighbors,122456.12680416841,32,100000,60,0.4983680248260498
greedy_selection_eval,create_multi_change_neighbors,123004.53471779078,64,100000,60,2.9693918228149414
greedy_selection_eval,create_multi_change_neighbors,121782.65765252206,2,100000,80,0.015486001968383789
greedy_selection_eval,create_multi_change_neighbors,121782.65765252206,4,100000,80,0.023159027099609375
greedy_selection_eval,create_multi_change_neighbors,122095.55861959019,8,100000,80,0.0693209171295166
greedy_selection_eval,create_multi_change_neighbors,123214.20886214415,16,100000,80,0.5016469955444336
greedy_selection_eval,create_multi_change_neighbors,122723.29881088846,32,100000,80,0.5007948875427246
greedy_selection_eval,create_multi_change_neighbors,123185.52634047634,64,100000,80,2.4797141551971436
greedy_selection_eval,create_multi_change_neighbors,121782.65765252206,2,100000,100,0.015477180480957031
greedy_selection_eval,create_multi_change_neighbors,122112.75776924384,4,100000,100,0.05418896675109863
greedy_selection_eval,create_multi_change_neighbors,122005.57104000241,8,100000,100,0.06972074508666992
greedy_selection_eval,create_multi_change_neighbors,123061.69531202785,16,100000,100,0.44074010848999023
greedy_selection_eval,create_multi_change_neighbors,123725.38927085884,32,100000,100,1.3707668781280518
greedy_selection_eval,create_multi_change_neighbors,123867.6003617835,64,100000,100,4.510437250137329
greedy_selection_eval,create_multi_change_neighbors,121821.21612879481,2,1000000,10,0.023227930068969727
greedy_selection_eval,create_multi_change_neighbors,121926.72967389035,4,1000000,10,0.06978988647460938
greedy_selection_eval,create_multi_change_neighbors,122763.51816690265,8,1000000,10,0.96673583984375
greedy_selection_eval,create_multi_change_neighbors,123150.91158609198,16,1000000,10,2.604278087615967
greedy_selection_eval,create_multi_change_neighbors,123601.32280630317,32,1000000,10,8.699533939361572
greedy_selection_eval,create_multi_change_neighbors,123759.2617142112,64,1000000,10,23.74513578414917
greedy_selection_eval,create_multi_change_neighbors,122073.88781863185,2,1000000,20,0.0540318489074707
greedy_selection_eval,create_multi_change_neighbors,122414.07161373101,4,1000000,20,0.16246604919433594
greedy_selection_eval,create_multi_change_neighbors,123103.9950965964,8,1000000,20,0.71877121925354
greedy_selection_eval,create_multi_change_neighbors,123338.24005932543,16,1000000,20,1.2442951202392578
greedy_selection_eval,create_multi_change_neighbors,123661.04906292111,32,1000000,20,5.0828328132629395
greedy_selection_eval,create_multi_change_neighbors,123814.63303409616,64,1000000,20,13.713945150375366
greedy_selection_eval,create_multi_change_neighbors,122010.21854523689,2,1000000,40,0.02318120002746582
greedy_selection_eval,create_multi_change_neighbors,122182.98014159061,4,1000000,40,0.05409717559814453
greedy_selection_eval,create_multi_change_neighbors,122205.1001838928,8,1000000,40,0.13240575790405273
greedy_selection_eval,create_multi_change_neighbors,122958.6320781342,16,1000000,40,0.6874029636383057
greedy_selection_eval,create_multi_change_neighbors,123111.89681723964,32,1000000,40,1.4851810932159424
greedy_selection_eval,create_multi_change_neighbors,123207.93170458094,64,1000000,40,3.7338831424713135
greedy_selection_eval,create_multi_change_neighbors,121872.52739953923,2,1000000,60,0.02367997169494629
greedy_selection_eval,create_multi_change_neighbors,121782.65765252206,4,1000000,60,0.02314615249633789
greedy_selection_eval,create_multi_change_neighbors,121872.52739953923,8,1000000,60,0.06901884078979492
greedy_selection_eval,create_multi_change_neighbors,122612.51505566032,16,1000000,60,0.4567680358886719
greedy_selection_eval,create_multi_change_neighbors,122741.48296378102,32,1000000,60,0.628366231918335
greedy_selection_eval,create_multi_change_neighbors,122873.04470950407,64,1000000,60,1.7625820636749268
greedy_selection_eval,create_multi_change_neighbors,121782.65765252206,2,1000000,80,0.015331029891967773
greedy_selection_eval,create_multi_change_neighbors,121904.26530677754,4,1000000,80,0.03821587562561035
greedy_selection_eval,create_multi_change_neighbors,122310.64186370402,8,1000000,80,0.09915494918823242
greedy_selection_eval,create_multi_change_neighbors,122202.72306422686,16,1000000,80,0.19132614135742188
greedy_selection_eval,create_multi_change_neighbors,123005.35076116517,32,1000000,80,0.7483170032501221
greedy_selection_eval,create_multi_change_neighbors,123183.71142493773,64,1000000,80,1.7379150390625
greedy_selection_eval,create_multi_change_neighbors,121782.65765252206,2,1000000,100,0.015451908111572266
greedy_selection_eval,create_multi_change_neighbors,122354.50869779517,4,1000000,100,0.0385289192199707
greedy_selection_eval,create_multi_change_neighbors,122032.877158493,8,1000000,100,0.10047101974487305
greedy_selection_eval,create_multi_change_neighbors,123523.02799107364,16,1000000,100,0.7480659484863281
greedy_selection_eval,create_multi_change_neighbors,123312.03046209614,32,1000000,100,1.1213099956512451
greedy_selection_eval,create_multi_change_neighbors,123707.19963508149,64,1000000,100,3.2152867317199707
greedy_selection_eval,create_multi_change_neighbors,121914.76103671666,2,10000000,10,0.03849387168884277
greedy_selection_eval,create_multi_change_neighbors,121995.06774136653,4,10000000,10,0.08561110496520996
greedy_selection_eval,create_multi_change_neighbors,123065.07436972349,8,10000000,10,1.167923927307129
greedy_selection_eval,create_multi_change_neighbors,123467.84632222904,16,10000000,10,3.9644949436187744
greedy_selection_eval,create_multi_change_neighbors,123712.68490973178,32,10000000,10,13.292341947555542
greedy_selection_eval,create_multi_change_neighbors,123741.15186350813,64,10000000,10,20.698477029800415
greedy_selection_eval,create_multi_change_neighbors,121782.65765252206,2,10000000,20,0.015482187271118164
greedy_selection_eval,create_multi_change_neighbors,121994.70324328868,4,10000000,20,0.053642988204956055
greedy_selection_eval,create_multi_change_neighbors,123166.43084464483,8,10000000,20,0.6240980625152588
greedy_selection_eval,create_multi_change_neighbors,123247.98502824428,16,10000000,20,1.3077590465545654
greedy_selection_eval,create_multi_change_neighbors,123504.91785862556,32,10000000,20,3.61125111579895
greedy_selection_eval,create_multi_change_neighbors,123847.20282888915,64,10000000,20,13.487149000167847
greedy_selection_eval,create_multi_change_neighbors,121913.2658517967,2,10000000,40,0.03876090049743652
greedy_selection_eval,create_multi_change_neighbors,122195.9426139726,4,10000000,40,0.08519601821899414
greedy_selection_eval,create_multi_change_neighbors,122287.73704041878,8,10000000,40,0.2250978946685791
greedy_selection_eval,create_multi_change_neighbors,123104.218425845,16,10000000,40,0.8793821334838867
greedy_selection_eval,create_multi_change_neighbors,123241.14070485038,32,10000000,40,1.93595290184021
greedy_selection_eval,create_multi_change_neighbors,123080.73267757487,64,10000000,40,2.494997024536133
greedy_selection_eval,create_multi_change_neighbors,122062.98529847144,2,10000000,60,0.023216962814331055
greedy_selection_eval,create_multi_change_neighbors,121847.17796961548,4,10000000,60,0.03862786293029785
greedy_selection_eval,create_multi_change_neighbors,122092.96466448932,8,10000000,60,0.10104131698608398
greedy_selection_eval,create_multi_change_neighbors,122331.53360284536,16,10000000,60,0.2539820671081543
greedy_selection_eval,create_multi_change_neighbors,122813.6213040352,32,10000000,60,0.7434449195861816
greedy_selection_eval,create_multi_change_neighbors,122922.73595639746,64,10000000,60,1.9750823974609375
greedy_selection_eval,create_multi_change_neighbors,122260.51001322988,2,10000000,80,0.03858804702758789
greedy_selection_eval,create_multi_change_neighbors,121782.65765252206,4,10000000,80,0.023138046264648438
greedy_selection_eval,create_multi_change_neighbors,122995.76495870302,8,10000000,80,0.28499269485473633
greedy_selection_eval,create_multi_change_neighbors,122723.29881088846,16,10000000,80,0.25446414947509766
greedy_selection_eval,create_multi_change_neighbors,123299.12477290687,32,10000000,80,1.1135239601135254
greedy_selection_eval,create_multi_change_neighbors,123366.35298916411,64,10000000,80,2.9693102836608887
greedy_selection_eval,create_multi_change_neighbors,122121.03725089208,2,10000000,100,0.023376941680908203
greedy_selection_eval,create_multi_change_neighbors,123052.34632707581,4,10000000,100,0.10042691230773926
greedy_selection_eval,create_multi_change_neighbors,121782.65765252206,8,10000000,100,0.038606882095336914
greedy_selection_eval,create_multi_change_neighbors,123583.178179934,16,10000000,100,0.6249992847442627
greedy_selection_eval,create_multi_change_neighbors,123181.75623986546,32,10000000,100,0.7499749660491943
greedy_selection_eval,create_multi_change_neighbors,123867.6003617835,64,10000000,100,4.216850996017456
