Evaluation strategy,Neighbor strategy,Best Y,Num neighbors,Num. iterations,Step,Time
first_improvement_eval,create_multi_change_neighbors,121932.5853102587,2,10000,10,0.031397104263305664
first_improvement_eval,create_multi_change_neighbors,121923.67555264979,4,10000,10,0.053707122802734375
first_improvement_eval,create_multi_change_neighbors,122242.37934835978,8,10000,10,0.6314229965209961
first_improvement_eval,create_multi_change_neighbors,123493.22274370796,16,10000,10,6.866696834564209
first_improvement_eval,create_multi_change_neighbors,123647.86569396053,32,10000,10,16.889426946640015
first_improvement_eval,create_multi_change_neighbors,123879.7310819928,64,10000,10,55.89475417137146
first_improvement_eval,create_multi_change_neighbors,121923.28661639575,2,10000,20,0.030746936798095703
first_improvement_eval,create_multi_change_neighbors,121840.44448094392,4,10000,20,0.053690195083618164
first_improvement_eval,create_multi_change_neighbors,122641.1468059916,8,10000,20,0.7748839855194092
first_improvement_eval,create_multi_change_neighbors,123391.96268948114,16,10000,20,2.6985740661621094
first_improvement_eval,create_multi_change_neighbors,123660.48988072759,32,10000,20,8.582936763763428
first_improvement_eval,create_multi_change_neighbors,123555.62857320548,64,10000,20,12.555675029754639
first_improvement_eval,create_multi_change_neighbors,121782.65765252206,2,10000,40,0.01535487174987793
first_improvement_eval,create_multi_change_neighbors,122168.98648820227,4,10000,40,0.10049891471862793
first_improvement_eval,create_multi_change_neighbors,122494.5407440659,8,10000,40,0.28711915016174316
first_improvement_eval,create_multi_change_neighbors,123081.16350088542,16,10000,40,0.9986751079559326
first_improvement_eval,create_multi_change_neighbors,123167.90595953437,32,10000,40,2.3623158931732178
first_improvement_eval,create_multi_change_neighbors,123200.58870257539,64,10000,40,4.44438099861145
first_improvement_eval,create_multi_change_neighbors,121937.17886378319,2,10000,60,0.0305788516998291
first_improvement_eval,create_multi_change_neighbors,122248.12059148742,4,10000,60,0.06889772415161133
first_improvement_eval,create_multi_change_neighbors,121872.52739953923,8,10000,60,0.0687551498413086
first_improvement_eval,create_multi_change_neighbors,122307.83654622211,16,10000,60,0.31381678581237793
first_improvement_eval,create_multi_change_neighbors,122897.89033295013,32,10000,60,1.9625880718231201
first_improvement_eval,create_multi_change_neighbors,123007.97533156982,64,10000,60,4.8797478675842285
first_improvement_eval,create_multi_change_neighbors,122116.51991363504,2,10000,80,0.023075103759765625
first_improvement_eval,create_multi_change_neighbors,122055.97479530997,4,10000,80,0.03814291954040527
first_improvement_eval,create_multi_change_neighbors,122163.52429485532,8,10000,80,0.09923791885375977
first_improvement_eval,create_multi_change_neighbors,122694.44113326125,16,10000,80,0.3745748996734619
first_improvement_eval,create_multi_change_neighbors,123095.69655574301,32,10000,80,1.3491418361663818
first_improvement_eval,create_multi_change_neighbors,123265.51066477747,64,10000,80,3.673099994659424
first_improvement_eval,create_multi_change_neighbors,122174.9620433618,2,10000,100,0.030820846557617188
first_improvement_eval,create_multi_change_neighbors,121904.72699156223,4,10000,100,0.05455422401428223
first_improvement_eval,create_multi_change_neighbors,122380.16586408873,8,10000,100,0.10132884979248047
first_improvement_eval,create_multi_change_neighbors,123324.53022956486,16,10000,100,0.6907131671905518
first_improvement_eval,create_multi_change_neighbors,123685.28908918337,32,10000,100,2.7392380237579346
first_improvement_eval,create_multi_change_neighbors,123667.09945340567,64,10000,100,5.467196941375732
first_improvement_eval,create_multi_change_neighbors,121941.34439047711,2,100000,10,0.046364784240722656
first_improvement_eval,create_multi_change_neighbors,121843.53969128862,4,100000,10,0.03836321830749512
first_improvement_eval,create_multi_change_neighbors,122913.15857248363,8,100000,10,1.5961318016052246
first_improvement_eval,create_multi_change_neighbors,123322.50458621724,16,100000,10,5.161219120025635
first_improvement_eval,create_multi_change_neighbors,123583.32595834612,32,100000,10,16.228136777877808
first_improvement_eval,create_multi_change_neighbors,123920.39139837165,64,100000,10,56.8266499042511
first_improvement_eval,create_multi_change_neighbors,121876.58165210289,2,100000,20,0.030668020248413086
first_improvement_eval,create_multi_change_neighbors,121933.88218989951,4,100000,20,0.05364203453063965
first_improvement_eval,create_multi_change_neighbors,122952.83028969435,8,100000,20,0.9031620025634766
first_improvement_eval,create_multi_change_neighbors,122514.43387309703,16,100000,20,1.0877530574798584
first_improvement_eval,create_multi_change_neighbors,123701.07118666267,32,100000,20,9.847314834594727
first_improvement_eval,create_multi_change_neighbors,123644.09595130294,64,100000,20,19.326714038848877
first_improvement_eval,create_multi_change_neighbors,121841.08939029452,2,100000,40,0.023442983627319336
first_improvement_eval,create_multi_change_neighbors,121956.87477621902,4,100000,40,0.06996393203735352
first_improvement_eval,create_multi_change_neighbors,122126.79136766937,8,100000,40,0.2262861728668213
first_improvement_eval,create_multi_change_neighbors,123032.16509366117,16,100000,40,0.8738842010498047
first_improvement_eval,create_multi_change_neighbors,123001.4106243488,32,100000,40,1.6024911403656006
first_improvement_eval,create_multi_change_neighbors,123232.22359873577,64,100000,40,7.1083409786224365
first_improvement_eval,create_multi_change_neighbors,122158.26487783474,2,100000,60,0.030937910079956055
first_improvement_eval,create_multi_change_neighbors,121833.87080149975,4,100000,60,0.03894925117492676
first_improvement_eval,create_multi_change_neighbors,122364.89591648341,8,100000,60,0.13115501403808594
first_improvement_eval,create_multi_change_neighbors,122550.365689144,16,100000,60,0.37872886657714844
first_improvement_eval,create_multi_change_neighbors,122835.40229457659,32,100000,60,1.1106688976287842
first_improvement_eval,create_multi_change_neighbors,122860.24791802304,64,100000,60,3.1834802627563477
first_improvement_eval,create_multi_change_neighbors,121782.65765252206,2,100000,80,0.015283823013305664
first_improvement_eval,create_multi_change_neighbors,122283.19749582694,4,100000,80,0.05399179458618164
first_improvement_eval,create_multi_change_neighbors,122368.98671453865,8,100000,80,0.16113710403442383
first_improvement_eval,create_multi_change_neighbors,123263.74938389906,16,100000,80,0.7454118728637695
first_improvement_eval,create_multi_change_neighbors,122860.60420552171,32,100000,80,0.9804160594940186
