Evaluation strategy,Neighbor strategy,Best Y,Num neighbors,Num. iterations,Step,Time
first_improvement_eval,create_multi_change_neighbors,-221287.44020323543,2,100,10,0.10086393356323242
first_improvement_eval,create_multi_change_neighbors,-166580.76151290326,4,100,10,1.0335538387298584
first_improvement_eval,create_multi_change_neighbors,181922.81235976145,8,100,10,15.441445112228394
first_improvement_eval,create_multi_change_neighbors,222982.90999789737,16,100,10,31.281280994415283
first_improvement_eval,create_multi_change_neighbors,175265.87360910478,32,100,10,62.867791175842285
first_improvement_eval,create_multi_change_neighbors,168605.34126880165,64,100,10,125.37528109550476
first_improvement_eval,create_multi_change_neighbors,-207644.48242229485,2,100,20,0.15103912353515625
first_improvement_eval,create_multi_change_neighbors,-214408.2970749968,4,100,20,0.18907594680786133
first_improvement_eval,create_multi_change_neighbors,578524.2708167139,8,100,20,16.037266731262207
first_improvement_eval,create_multi_change_neighbors,632746.5635018757,16,100,20,31.368608951568604
first_improvement_eval,create_multi_change_neighbors,653548.0209616292,32,100,20,63.69407796859741
first_improvement_eval,create_multi_change_neighbors,585746.8053999823,64,100,20,125.10295104980469
first_improvement_eval,create_multi_change_neighbors,-207612.6807210805,2,100,40,0.11377263069152832
first_improvement_eval,create_multi_change_neighbors,-221287.44020323543,4,100,40,0.11306595802307129
first_improvement_eval,create_multi_change_neighbors,1541554.4660721887,8,100,40,15.551827192306519
first_improvement_eval,create_multi_change_neighbors,1473812.3594507077,16,100,40,31.3488712310791
first_improvement_eval,create_multi_change_neighbors,1282529.4889325679,32,100,40,64.2381808757782
first_improvement_eval,create_multi_change_neighbors,1651043.716599339,64,100,40,125.12116193771362
first_improvement_eval,create_multi_change_neighbors,-57362.44459139366,2,100,60,0.2668600082397461
first_improvement_eval,create_multi_change_neighbors,988563.0815148377,4,100,60,4.157357931137085
first_improvement_eval,create_multi_change_neighbors,2217547.592353957,8,100,60,16.08621311187744
first_improvement_eval,create_multi_change_neighbors,2378848.983085883,16,100,60,32.10180926322937
first_improvement_eval,create_multi_change_neighbors,2439704.747852211,32,100,60,61.11439800262451
first_improvement_eval,create_multi_change_neighbors,2277367.460287423,64,100,60,128.2957899570465
first_improvement_eval,create_multi_change_neighbors,-221112.07908432907,2,100,80,0.1526660919189453
first_improvement_eval,create_multi_change_neighbors,-193937.92123892094,4,100,80,0.2316117286682129
first_improvement_eval,create_multi_change_neighbors,2779261.0299422853,8,100,80,18.347091913223267
first_improvement_eval,create_multi_change_neighbors,2699109.9560957174,16,100,80,34.44235181808472
first_improvement_eval,create_multi_change_neighbors,3208583.795953882,32,100,80,64.85833287239075
first_improvement_eval,create_multi_change_neighbors,3075363.5701608527,64,100,80,124.08880305290222
first_improvement_eval,create_multi_change_neighbors,-152913.64279240646,2,100,100,0.15292811393737793
first_improvement_eval,create_multi_change_neighbors,52465.695643548504,4,100,100,0.8034708499908447
first_improvement_eval,create_multi_change_neighbors,3812607.632137251,8,100,100,15.300356149673462
first_improvement_eval,create_multi_change_neighbors,3909387.3684014743,16,100,100,30.819221019744873
first_improvement_eval,create_multi_change_neighbors,3744940.33734771,32,100,100,61.32258582115173
first_improvement_eval,create_multi_change_neighbors,4037462.7649953067,64,100,100,122.57097792625427
