Evaluation strategy,Neighbor strategy,Best Y,Num neighbors,Num. iterations,Step,Time
greedy_selection_eval,create_one_change_neighbors,-187078.32984490247,2,100,10,0.4497809410095215
greedy_selection_eval,create_one_change_neighbors,-200760.14706264762,4,100,10,0.5625309944152832
greedy_selection_eval,create_one_change_neighbors,-60426.66637786188,8,100,10,7.3330628871917725
greedy_selection_eval,create_one_change_neighbors,121321.29884717817,16,100,10,30.510191202163696
greedy_selection_eval,create_one_change_neighbors,121377.95401102994,32,100,10,60.87617373466492
greedy_selection_eval,create_one_change_neighbors,121386.04760590037,64,100,10,121.78565073013306
greedy_selection_eval,create_one_change_neighbors,-221287.44020323543,2,100,20,0.07583904266357422
greedy_selection_eval,create_one_change_neighbors,114012.45687341571,4,100,20,3.8469908237457275
greedy_selection_eval,create_one_change_neighbors,463302.76313695684,8,100,20,15.257541179656982
greedy_selection_eval,create_one_change_neighbors,463866.41724742553,16,100,20,30.50992488861084
greedy_selection_eval,create_one_change_neighbors,464013.95555764955,32,100,20,60.91097807884216
greedy_selection_eval,create_one_change_neighbors,464030.11600294313,64,100,20,121.79773473739624
greedy_selection_eval,create_one_change_neighbors,-207667.9765532254,2,100,40,0.11478805541992188
greedy_selection_eval,create_one_change_neighbors,216482.20078206586,4,100,40,2.549453020095825
greedy_selection_eval,create_one_change_neighbors,244544.1394504958,8,100,40,5.431066036224365
greedy_selection_eval,create_one_change_neighbors,1148901.7117362565,16,100,40,30.465008020401
greedy_selection_eval,create_one_change_neighbors,1149062.8629287982,32,100,40,60.84714412689209
greedy_selection_eval,create_one_change_neighbors,1149095.0931670342,64,100,40,1023.5660309791565
greedy_selection_eval,create_one_change_neighbors,-36634.09170239771,2,100,60,0.45816612243652344
greedy_selection_eval,create_one_change_neighbors,271594.47381034243,4,100,60,2.128671884536743
greedy_selection_eval,create_one_change_neighbors,1831431.5161607899,8,100,60,16.714872121810913
greedy_selection_eval,create_one_change_neighbors,1832955.746097137,16,100,60,34.14456868171692
greedy_selection_eval,create_one_change_neighbors,1833193.1980012027,32,100,60,68.84850525856018
greedy_selection_eval,create_one_change_neighbors,1833240.6883820612,64,100,60,1241.174691915512
greedy_selection_eval,create_one_change_neighbors,-166596.70984478475,2,100,80,0.15221691131591797
greedy_selection_eval,create_one_change_neighbors,-193937.92123892094,4,100,80,0.1901867389678955
greedy_selection_eval,create_one_change_neighbors,2512589.788422591,8,100,80,15.5904860496521
greedy_selection_eval,create_one_change_neighbors,2514150.2985255676,16,100,80,30.950631141662598
greedy_selection_eval,create_one_change_neighbors,2514585.5706037823,32,100,80,62.03105711936951
greedy_selection_eval,create_one_change_neighbors,2514585.5706037823,64,100,80,124.90415000915527
greedy_selection_eval,create_one_change_neighbors,-152843.0654369234,2,100,100,0.15252399444580078
greedy_selection_eval,create_one_change_neighbors,18125.49660903638,4,100,100,0.6508800983428955
greedy_selection_eval,create_one_change_neighbors,155247.0616278086,8,100,100,1.8711810111999512
greedy_selection_eval,create_one_change_neighbors,3189499.2287465585,16,100,100,30.641649961471558
greedy_selection_eval,create_one_change_neighbors,3190214.669110626,32,100,100,61.55893301963806
greedy_selection_eval,create_one_change_neighbors,3190282.6622866406,64,100,100,123.08979606628418
