Evaluation strategy,Neighbor strategy,Best Y,Num neighbors,Num. iterations,Step,Time
first_improvement_eval,create_exhaustive_neighbors,123936.65552492334,2,10000,10,23.522474765777588
first_improvement_eval,create_exhaustive_neighbors,123936.65552492334,4,10000,10,23.552829265594482
first_improvement_eval,create_exhaustive_neighbors,123936.65552492334,8,10000,10,23.460365056991577
first_improvement_eval,create_exhaustive_neighbors,123936.65552492334,16,10000,10,23.556138038635254
first_improvement_eval,create_exhaustive_neighbors,123936.65552492334,32,10000,10,23.554052114486694
first_improvement_eval,create_exhaustive_neighbors,123936.65552492334,64,10000,10,23.26744818687439
first_improvement_eval,create_exhaustive_neighbors,123565.98981688406,2,10000,20,8.021586894989014
first_improvement_eval,create_exhaustive_neighbors,123565.98981688406,4,10000,20,7.9934587478637695
first_improvement_eval,create_exhaustive_neighbors,123565.98981688406,8,10000,20,8.006187915802002
first_improvement_eval,create_exhaustive_neighbors,123565.98981688406,16,10000,20,7.949281215667725
first_improvement_eval,create_exhaustive_neighbors,123565.98981688406,32,10000,20,7.962145090103149
first_improvement_eval,create_exhaustive_neighbors,123565.98981688406,64,10000,20,8.035789966583252
first_improvement_eval,create_exhaustive_neighbors,122842.62919393052,2,10000,40,1.3520069122314453
first_improvement_eval,create_exhaustive_neighbors,122842.62919393052,4,10000,40,1.3515739440917969
first_improvement_eval,create_exhaustive_neighbors,122842.62919393052,8,10000,40,1.3511791229248047
first_improvement_eval,create_exhaustive_neighbors,122842.62919393052,16,10000,40,1.3552830219268799
first_improvement_eval,create_exhaustive_neighbors,122842.62919393052,32,10000,40,1.3530960083007812
first_improvement_eval,create_exhaustive_neighbors,122842.62919393052,64,10000,40,1.3564400672912598
first_improvement_eval,create_exhaustive_neighbors,122111.5754327384,2,10000,60,0.2960069179534912
first_improvement_eval,create_exhaustive_neighbors,122111.5754327384,4,10000,60,0.2963378429412842
first_improvement_eval,create_exhaustive_neighbors,122111.5754327384,8,10000,60,0.2961611747741699
first_improvement_eval,create_exhaustive_neighbors,122111.5754327384,16,10000,60,0.295881986618042
first_improvement_eval,create_exhaustive_neighbors,122111.5754327384,32,10000,60,0.2962641716003418
first_improvement_eval,create_exhaustive_neighbors,122111.5754327384,64,10000,60,0.29568982124328613
first_improvement_eval,create_exhaustive_neighbors,122867.82383660068,2,10000,80,0.43404412269592285
first_improvement_eval,create_exhaustive_neighbors,122867.82383660068,4,10000,80,0.43380093574523926
first_improvement_eval,create_exhaustive_neighbors,122867.82383660068,8,10000,80,0.43584513664245605
first_improvement_eval,create_exhaustive_neighbors,122867.82383660068,16,10000,80,0.4364590644836426
first_improvement_eval,create_exhaustive_neighbors,122867.82383660068,32,10000,80,0.4346938133239746
first_improvement_eval,create_exhaustive_neighbors,122867.82383660068,64,10000,80,0.4341409206390381
first_improvement_eval,create_exhaustive_neighbors,123484.78818080566,2,10000,100,0.950721025466919
first_improvement_eval,create_exhaustive_neighbors,123484.78818080566,4,10000,100,0.952855110168457
first_improvement_eval,create_exhaustive_neighbors,123484.78818080566,8,10000,100,0.952808141708374
first_improvement_eval,create_exhaustive_neighbors,123484.78818080566,16,10000,100,0.9488668441772461
first_improvement_eval,create_exhaustive_neighbors,123484.78818080566,32,10000,100,0.945310115814209
first_improvement_eval,create_exhaustive_neighbors,123484.78818080566,64,10000,100,0.945836067199707
first_improvement_eval,create_exhaustive_neighbors,123936.65552492334,2,100000,10,23.36777114868164
first_improvement_eval,create_exhaustive_neighbors,123936.65552492334,4,100000,10,23.55017924308777
first_improvement_eval,create_exhaustive_neighbors,123936.65552492334,8,100000,10,23.499552965164185
first_improvement_eval,create_exhaustive_neighbors,123936.65552492334,16,100000,10,23.93551778793335
first_improvement_eval,create_exhaustive_neighbors,123936.65552492334,32,100000,10,23.776082038879395
first_improvement_eval,create_exhaustive_neighbors,123936.65552492334,64,100000,10,23.428289890289307
first_improvement_eval,create_exhaustive_neighbors,123565.98981688406,2,100000,20,8.000195741653442
first_improvement_eval,create_exhaustive_neighbors,123565.98981688406,4,100000,20,7.9987709522247314
first_improvement_eval,create_exhaustive_neighbors,123565.98981688406,8,100000,20,8.01998496055603
first_improvement_eval,create_exhaustive_neighbors,123565.98981688406,16,100000,20,8.006909132003784
first_improvement_eval,create_exhaustive_neighbors,123565.98981688406,32,100000,20,8.002992868423462
first_improvement_eval,create_exhaustive_neighbors,123565.98981688406,64,100000,20,7.99934196472168
first_improvement_eval,create_exhaustive_neighbors,122842.62919393052,2,100000,40,1.3709759712219238
first_improvement_eval,create_exhaustive_neighbors,122842.62919393052,4,100000,40,1.3642420768737793
first_improvement_eval,create_exhaustive_neighbors,122842.62919393052,8,100000,40,1.3641650676727295
first_improvement_eval,create_exhaustive_neighbors,122842.62919393052,16,100000,40,1.3620789051055908
first_improvement_eval,create_exhaustive_neighbors,122842.62919393052,32,100000,40,1.3608617782592773
first_improvement_eval,create_exhaustive_neighbors,122842.62919393052,64,100000,40,1.3628969192504883
first_improvement_eval,create_exhaustive_neighbors,122111.5754327384,2,100000,60,0.29691028594970703
first_improvement_eval,create_exhaustive_neighbors,122111.5754327384,4,100000,60,0.2969357967376709
first_improvement_eval,create_exhaustive_neighbors,122111.5754327384,8,100000,60,0.297954797744751
first_improvement_eval,create_exhaustive_neighbors,122111.5754327384,16,100000,60,0.29876708984375
first_improvement_eval,create_exhaustive_neighbors,122111.5754327384,32,100000,60,0.2977290153503418
first_improvement_eval,create_exhaustive_neighbors,122111.5754327384,64,100000,60,0.29757189750671387
first_improvement_eval,create_exhaustive_neighbors,122867.82383660068,2,100000,80,0.43790578842163086
first_improvement_eval,create_exhaustive_neighbors,122867.82383660068,4,100000,80,0.43758416175842285
first_improvement_eval,create_exhaustive_neighbors,122867.82383660068,8,100000,80,0.43808889389038086
first_improvement_eval,create_exhaustive_neighbors,122867.82383660068,16,100000,80,0.4379000663757324
first_improvement_eval,create_exhaustive_neighbors,122867.82383660068,32,100000,80,0.43767499923706055
first_improvement_eval,create_exhaustive_neighbors,122867.82383660068,64,100000,80,0.4374368190765381
first_improvement_eval,create_exhaustive_neighbors,123484.78818080566,2,100000,100,0.952584981918335
first_improvement_eval,create_exhaustive_neighbors,123484.78818080566,4,100000,100,0.95306396484375
first_improvement_eval,create_exhaustive_neighbors,123484.78818080566,8,100000,100,0.9533672332763672
first_improvement_eval,create_exhaustive_neighbors,123484.78818080566,16,100000,100,0.9541800022125244
first_improvement_eval,create_exhaustive_neighbors,123484.78818080566,32,100000,100,0.952617883682251
first_improvement_eval,create_exhaustive_neighbors,123484.78818080566,64,100000,100,0.9529628753662109
first_improvement_eval,create_exhaustive_neighbors,123936.65552492334,2,1000000,10,23.422064781188965
