Evaluation strategy,Neighbor strategy,Best Y,Num neighbors,Num. iterations,Step,Time
stochastic_selection_eval,create_exhaustive_neighbors,123936.65552492334,2,10000,10,18.311681032180786
stochastic_selection_eval,create_exhaustive_neighbors,123936.65552492334,4,10000,10,16.98393988609314
stochastic_selection_eval,create_exhaustive_neighbors,123936.65552492334,8,10000,10,17.239893198013306
stochastic_selection_eval,create_exhaustive_neighbors,123936.65552492334,16,10000,10,18.251182079315186
stochastic_selection_eval,create_exhaustive_neighbors,123936.65552492334,32,10000,10,18.409659147262573
stochastic_selection_eval,create_exhaustive_neighbors,123936.65552492334,64,10000,10,18.026044845581055
stochastic_selection_eval,create_exhaustive_neighbors,123778.01566143749,2,10000,20,7.238268852233887
stochastic_selection_eval,create_exhaustive_neighbors,123863.46695544026,4,10000,20,7.272901773452759
stochastic_selection_eval,create_exhaustive_neighbors,123700.94172042556,8,10000,20,7.021951913833618
stochastic_selection_eval,create_exhaustive_neighbors,123749.59283301962,16,10000,20,6.877279996871948
stochastic_selection_eval,create_exhaustive_neighbors,123830.93870233741,32,10000,20,7.171641111373901
stochastic_selection_eval,create_exhaustive_neighbors,123863.46695544026,64,10000,20,7.430049896240234
stochastic_selection_eval,create_exhaustive_neighbors,123001.2915422167,2,10000,40,1.6729629039764404
stochastic_selection_eval,create_exhaustive_neighbors,122961.0145052875,4,10000,40,1.828941822052002
stochastic_selection_eval,create_exhaustive_neighbors,123080.53514089843,8,10000,40,1.378359079360962
stochastic_selection_eval,create_exhaustive_neighbors,122976.99964806173,16,10000,40,1.5357329845428467
stochastic_selection_eval,create_exhaustive_neighbors,123017.24980738867,32,10000,40,1.5401079654693604
stochastic_selection_eval,create_exhaustive_neighbors,123168.112368563,64,10000,40,1.54075288772583
stochastic_selection_eval,create_exhaustive_neighbors,122266.1904718677,2,10000,60,0.2981231212615967
stochastic_selection_eval,create_exhaustive_neighbors,122349.73625958945,4,10000,60,0.29680895805358887
stochastic_selection_eval,create_exhaustive_neighbors,121904.44533590443,8,10000,60,0.297213077545166
stochastic_selection_eval,create_exhaustive_neighbors,122326.7610510953,16,10000,60,0.2969989776611328
stochastic_selection_eval,create_exhaustive_neighbors,121922.91783729574,32,10000,60,0.29636693000793457
stochastic_selection_eval,create_exhaustive_neighbors,122339.92664511835,64,10000,60,0.4303309917449951
stochastic_selection_eval,create_exhaustive_neighbors,123254.02838468915,2,10000,80,0.9975543022155762
stochastic_selection_eval,create_exhaustive_neighbors,123459.09342150958,4,10000,80,1.1933062076568604
stochastic_selection_eval,create_exhaustive_neighbors,123459.09342150958,8,10000,80,1.180116891860962
stochastic_selection_eval,create_exhaustive_neighbors,123361.23317861707,16,10000,80,0.9934117794036865
stochastic_selection_eval,create_exhaustive_neighbors,123412.72320533643,32,10000,80,0.9953031539916992
stochastic_selection_eval,create_exhaustive_neighbors,123324.05483960095,64,10000,80,1.0007517337799072
stochastic_selection_eval,create_exhaustive_neighbors,123583.178179934,2,10000,100,1.2921359539031982
stochastic_selection_eval,create_exhaustive_neighbors,123685.28908918337,4,10000,100,1.3412420749664307
stochastic_selection_eval,create_exhaustive_neighbors,123583.178179934,8,10000,100,1.0620291233062744
stochastic_selection_eval,create_exhaustive_neighbors,123645.1889075081,16,10000,100,1.063542127609253
stochastic_selection_eval,create_exhaustive_neighbors,123685.28908918337,32,10000,100,1.064549207687378
stochastic_selection_eval,create_exhaustive_neighbors,123583.178179934,64,10000,100,1.1919188499450684
stochastic_selection_eval,create_exhaustive_neighbors,123936.65552492334,2,100000,10,17.43141198158264
stochastic_selection_eval,create_exhaustive_neighbors,123936.65552492334,4,100000,10,18.67996311187744
stochastic_selection_eval,create_exhaustive_neighbors,123936.65552492334,8,100000,10,17.696789026260376
stochastic_selection_eval,create_exhaustive_neighbors,123936.65552492334,16,100000,10,15.96462893486023
stochastic_selection_eval,create_exhaustive_neighbors,123936.65552492334,32,100000,10,17.791342973709106
stochastic_selection_eval,create_exhaustive_neighbors,123936.65552492334,64,100000,10,18.26880693435669
stochastic_selection_eval,create_exhaustive_neighbors,123737.51732682073,2,100000,20,6.742498159408569
stochastic_selection_eval,create_exhaustive_neighbors,123749.59283301962,4,100000,20,6.653587102890015
stochastic_selection_eval,create_exhaustive_neighbors,123684.55263194507,8,100000,20,6.2677388191223145
stochastic_selection_eval,create_exhaustive_neighbors,123692.74717618461,16,100000,20,6.625375032424927
stochastic_selection_eval,create_exhaustive_neighbors,123765.94709756794,32,100000,20,6.979001998901367
stochastic_selection_eval,create_exhaustive_neighbors,123765.94709756794,64,100000,20,6.723308086395264
stochastic_selection_eval,create_exhaustive_neighbors,123041.11087823479,2,100000,40,1.5672650337219238
stochastic_selection_eval,create_exhaustive_neighbors,122978.66918609169,4,100000,40,1.6124248504638672
stochastic_selection_eval,create_exhaustive_neighbors,122946.29495483672,8,100000,40,1.5248348712921143
stochastic_selection_eval,create_exhaustive_neighbors,123041.31728726304,16,100000,40,1.6685130596160889
stochastic_selection_eval,create_exhaustive_neighbors,123137.39880298586,32,100000,40,1.5340490341186523
stochastic_selection_eval,create_exhaustive_neighbors,123104.82703505407,64,100000,40,1.3871219158172607
