Evaluation strategy,Best Y,Num. iterations,Step,Time
stochastic_selection_eval,85737.46111759088,10000,10,8.086952209472656
stochastic_selection_eval,85940.94443022134,10000,20,3.593499183654785
stochastic_selection_eval,84750.76261203951,10000,40,0.9907917976379395
stochastic_selection_eval,84116.94443022134,10000,60,0.425739049911499
stochastic_selection_eval,84968.25824660767,10000,80,0.37757396697998047
stochastic_selection_eval,83962.44006478952,10000,100,0.339184045791626
stochastic_selection_eval,85674.7338448636,100000,10,7.3471879959106445
stochastic_selection_eval,85936.58079385772,100000,20,4.0913097858428955
stochastic_selection_eval,84886.03533931225,100000,40,1.0455951690673828
stochastic_selection_eval,84306.76261203954,100000,60,0.4279460906982422
stochastic_selection_eval,84662.80370115313,100000,80,0.37913084030151367
stochastic_selection_eval,84098.80370115317,100000,100,0.32563304901123047
stochastic_selection_eval,85763.09748122723,1000000,10,7.852433919906616
stochastic_selection_eval,85939.85352113043,1000000,20,4.16982102394104
stochastic_selection_eval,84641.67170294862,1000000,40,1.1746149063110352
stochastic_selection_eval,84123.48988476681,1000000,60,0.4630138874053955
stochastic_selection_eval,84331.16733751677,1000000,80,0.37955689430236816
stochastic_selection_eval,83815.1673375168,1000000,100,0.32636213302612305
stochastic_selection_eval,85689.46111759088,10000000,10,8.129299879074097
stochastic_selection_eval,85940.94443022134,10000000,20,4.046114683151245
stochastic_selection_eval,84584.94443022135,10000000,40,0.8996620178222656
stochastic_selection_eval,84306.76261203954,10000000,60,0.42241501808166504
stochastic_selection_eval,84043.16733751676,10000000,80,0.3900778293609619
stochastic_selection_eval,84240.62188297135,10000000,100,0.3208639621734619
