Evaluation strategy,Neighbor strategy,Best Y,Num neighbors,Num. iterations,Step,Time
stochastic_selection_eval,create_exhaustive_neighbors,123936.65552492334,0,10000,10,17.54196000099182
stochastic_selection_eval,create_exhaustive_neighbors,123765.94709756794,0,10000,20,6.519350051879883
stochastic_selection_eval,create_exhaustive_neighbors,123057.09602100989,0,10000,40,1.442152976989746
stochastic_selection_eval,create_exhaustive_neighbors,122349.73625958945,0,10000,60,0.4371809959411621
stochastic_selection_eval,create_exhaustive_neighbors,123063.44303880274,0,10000,80,0.7802419662475586
stochastic_selection_eval,create_exhaustive_neighbors,123583.178179934,0,10000,100,1.0569629669189453
stochastic_selection_eval,create_exhaustive_neighbors,123936.65552492334,0,100000,10,17.06990885734558
stochastic_selection_eval,create_exhaustive_neighbors,123721.17000460236,0,100000,20,6.8518781661987305
stochastic_selection_eval,create_exhaustive_neighbors,122992.12314421855,0,100000,40,1.3849759101867676
stochastic_selection_eval,create_exhaustive_neighbors,122231.15494184868,0,100000,60,0.42516088485717773
stochastic_selection_eval,create_exhaustive_neighbors,123459.09342150958,0,100000,80,1.0853028297424316
stochastic_selection_eval,create_exhaustive_neighbors,123481.06727068413,0,100000,100,1.1028549671173096
stochastic_selection_eval,create_exhaustive_neighbors,123936.65552492334,0,1000000,10,17.893335103988647
stochastic_selection_eval,create_exhaustive_neighbors,123733.20374453941,0,1000000,20,6.371403694152832
stochastic_selection_eval,create_exhaustive_neighbors,123048.50407980957,0,1000000,40,1.5182409286499023
stochastic_selection_eval,create_exhaustive_neighbors,121865.78873786413,0,1000000,60,0.295896053314209
stochastic_selection_eval,create_exhaustive_neighbors,123459.09342150958,0,1000000,80,1.1087589263916016
stochastic_selection_eval,create_exhaustive_neighbors,123685.28908918337,0,1000000,100,1.4820787906646729
stochastic_selection_eval,create_exhaustive_neighbors,123936.65552492334,0,10000000,10,17.63341522216797
stochastic_selection_eval,create_exhaustive_neighbors,123757.78737725994,0,10000000,20,6.657394170761108
stochastic_selection_eval,create_exhaustive_neighbors,123017.68063069765,0,10000000,40,1.5540528297424316
stochastic_selection_eval,create_exhaustive_neighbors,122266.1904718677,0,10000000,60,0.2933049201965332
stochastic_selection_eval,create_exhaustive_neighbors,123459.09342150958,0,10000000,80,1.1123418807983398
stochastic_selection_eval,create_exhaustive_neighbors,123481.06727068413,0,10000000,100,1.0732698440551758
