Evaluation strategy,Neighbor strategy,Best Y,Num neighbors,Num. iterations,Step,Time
stochastic_selection_eval,create_one_change_neighbors,121782.65765252206,2,10000,10,0.015641212463378906
stochastic_selection_eval,create_one_change_neighbors,122208.10477678008,4,10000,10,0.39060091972351074
stochastic_selection_eval,create_one_change_neighbors,121902.7807223787,8,10000,10,0.19050288200378418
stochastic_selection_eval,create_one_change_neighbors,123416.18960539855,16,10000,10,6.650081157684326
stochastic_selection_eval,create_one_change_neighbors,123575.03812087952,32,10000,10,17.955963850021362
stochastic_selection_eval,create_one_change_neighbors,123842.34108763785,64,10000,10,64.3936858177185
stochastic_selection_eval,create_one_change_neighbors,121913.6158078532,2,10000,20,0.023350954055786133
stochastic_selection_eval,create_one_change_neighbors,121907.67209883298,4,10000,20,0.0689399242401123
stochastic_selection_eval,create_one_change_neighbors,122799.0099552572,8,10000,20,0.8648440837860107
stochastic_selection_eval,create_one_change_neighbors,123333.26845137402,16,10000,20,3.8742198944091797
stochastic_selection_eval,create_one_change_neighbors,123672.51889200705,32,10000,20,11.79653787612915
stochastic_selection_eval,create_one_change_neighbors,123879.7310819928,64,10000,20,32.48247504234314
stochastic_selection_eval,create_one_change_neighbors,122018.90713123746,2,10000,40,0.02288508415222168
stochastic_selection_eval,create_one_change_neighbors,122018.90713123746,4,10000,40,0.03791403770446777
stochastic_selection_eval,create_one_change_neighbors,122232.74172800494,8,10000,40,0.16102981567382812
stochastic_selection_eval,create_one_change_neighbors,122964.11562695654,16,10000,40,1.116339921951294
stochastic_selection_eval,create_one_change_neighbors,122800.62128022933,32,10000,40,1.7907769680023193
stochastic_selection_eval,create_one_change_neighbors,123088.0071232642,64,10000,40,5.422648906707764
stochastic_selection_eval,create_one_change_neighbors,122062.98529847144,2,10000,60,0.023092031478881836
stochastic_selection_eval,create_one_change_neighbors,121847.17796961548,4,10000,60,0.0384221076965332
stochastic_selection_eval,create_one_change_neighbors,122079.65749637363,8,10000,60,0.06937003135681152
stochastic_selection_eval,create_one_change_neighbors,122484.36530708607,16,10000,60,0.37674999237060547
stochastic_selection_eval,create_one_change_neighbors,122168.13660347226,32,10000,60,0.533470869064331
stochastic_selection_eval,create_one_change_neighbors,122479.2668706507,64,10000,60,1.4836201667785645
stochastic_selection_eval,create_one_change_neighbors,121803.18388025895,2,10000,80,0.022734880447387695
stochastic_selection_eval,create_one_change_neighbors,121838.57087850623,4,10000,80,0.03777718544006348
stochastic_selection_eval,create_one_change_neighbors,121784.77452297069,8,10000,80,0.06804299354553223
stochastic_selection_eval,create_one_change_neighbors,122255.75259212506,16,10000,80,0.37300682067871094
stochastic_selection_eval,create_one_change_neighbors,122670.54193781817,32,10000,80,0.9889841079711914
stochastic_selection_eval,create_one_change_neighbors,123361.23317861707,64,10000,80,3.962204933166504
stochastic_selection_eval,create_one_change_neighbors,121782.65765252206,2,10000,100,0.015475988388061523
stochastic_selection_eval,create_one_change_neighbors,121782.65765252206,4,10000,100,0.02311992645263672
stochastic_selection_eval,create_one_change_neighbors,122795.65199313159,8,10000,100,0.19202041625976562
stochastic_selection_eval,create_one_change_neighbors,123583.178179934,16,10000,100,1.175978660583496
stochastic_selection_eval,create_one_change_neighbors,123623.27836160896,32,10000,100,1.8504559993743896
stochastic_selection_eval,create_one_change_neighbors,123583.178179934,64,10000,100,3.701925039291382
stochastic_selection_eval,create_one_change_neighbors,121782.65765252206,2,100000,10,0.01530003547668457
stochastic_selection_eval,create_one_change_neighbors,121942.3051998845,4,100000,10,0.12982606887817383
stochastic_selection_eval,create_one_change_neighbors,122012.1727930682,8,100000,10,0.3443601131439209
stochastic_selection_eval,create_one_change_neighbors,123503.54732855927,16,100000,10,8.04942011833191
stochastic_selection_eval,create_one_change_neighbors,123624.34773447776,32,100000,10,21.582117795944214
stochastic_selection_eval,create_one_change_neighbors,123887.16204818388,64,100000,10,67.03173398971558
stochastic_selection_eval,create_one_change_neighbors,121923.6931455879,2,100000,20,0.061482906341552734
stochastic_selection_eval,create_one_change_neighbors,122014.56869130737,4,100000,20,0.053861141204833984
stochastic_selection_eval,create_one_change_neighbors,122363.67814130303,8,100000,20,0.4722139835357666
stochastic_selection_eval,create_one_change_neighbors,123333.02233961338,16,100000,20,3.104336738586426
stochastic_selection_eval,create_one_change_neighbors,123394.79526251457,32,100000,20,7.517596244812012
stochastic_selection_eval,create_one_change_neighbors,123704.78091612145,64,100000,20,24.390974283218384
stochastic_selection_eval,create_one_change_neighbors,121872.90662586792,2,100000,40,0.022928953170776367
stochastic_selection_eval,create_one_change_neighbors,121848.06820440527,4,100000,40,0.03823113441467285
stochastic_selection_eval,create_one_change_neighbors,122655.62503047321,8,100000,40,0.40472984313964844
stochastic_selection_eval,create_one_change_neighbors,123032.03151783688,16,100000,40,1.167823076248169
stochastic_selection_eval,create_one_change_neighbors,122959.6446330495,32,100000,40,2.2249460220336914
stochastic_selection_eval,create_one_change_neighbors,123025.76296779781,64,100000,40,4.95805287361145
stochastic_selection_eval,create_one_change_neighbors,121782.65765252206,2,100000,60,0.0153961181640625
stochastic_selection_eval,create_one_change_neighbors,122139.4421798465,4,100000,60,0.06934499740600586
stochastic_selection_eval,create_one_change_neighbors,122117.67725909228,8,100000,60,0.1305220127105713
stochastic_selection_eval,create_one_change_neighbors,121799.16114911895,16,100000,60,0.1305840015411377
