Evaluation strategy,Neighbor strategy,Best Y,Num neighbors,Num. iterations,Step,Time
stochastic_selection_eval,create_one_change_neighbors,-207627.54312538766,2,100,10,0.22742390632629395
stochastic_selection_eval,create_one_change_neighbors,-183675.5408249569,4,100,10,0.9545049667358398
stochastic_selection_eval,create_one_change_neighbors,116972.50595826721,8,100,10,15.649421215057373
stochastic_selection_eval,create_one_change_neighbors,120451.50273621213,16,100,10,30.764289140701294
stochastic_selection_eval,create_one_change_neighbors,120421.24223801533,32,100,10,61.43568205833435
stochastic_selection_eval,create_one_change_neighbors,120416.01946176792,64,100,10,140.8533959388733
stochastic_selection_eval,create_one_change_neighbors,-146096.5142375097,2,100,20,0.569688081741333
stochastic_selection_eval,create_one_change_neighbors,-16381.32843589535,4,100,20,2.8175160884857178
stochastic_selection_eval,create_one_change_neighbors,462112.1800317587,8,100,20,18.712045907974243
stochastic_selection_eval,create_one_change_neighbors,462040.1785511518,16,100,20,39.76710510253906
stochastic_selection_eval,create_one_change_neighbors,462154.955333544,32,100,20,74.93626618385315
stochastic_selection_eval,create_one_change_neighbors,462248.34279925114,64,100,20,146.71051287651062
stochastic_selection_eval,create_one_change_neighbors,-221287.44020323543,2,100,40,0.0762639045715332
stochastic_selection_eval,create_one_change_neighbors,-166615.46716453158,4,100,40,0.536513090133667
stochastic_selection_eval,create_one_change_neighbors,1145059.6659483926,8,100,40,17.687845945358276
stochastic_selection_eval,create_one_change_neighbors,1145239.0751278813,16,100,40,34.86039900779724
stochastic_selection_eval,create_one_change_neighbors,1144897.9095499672,32,100,40,64.01916217803955
stochastic_selection_eval,create_one_change_neighbors,1145817.2130663816,64,100,40,132.58193278312683
stochastic_selection_eval,create_one_change_neighbors,-180429.04925323426,2,100,60,0.16795897483825684
stochastic_selection_eval,create_one_change_neighbors,86195.04492376946,4,100,60,1.3437471389770508
stochastic_selection_eval,create_one_change_neighbors,1827561.6790259818,8,100,60,16.646851062774658
stochastic_selection_eval,create_one_change_neighbors,1827577.063734053,16,100,60,33.07512092590332
stochastic_selection_eval,create_one_change_neighbors,1827210.184846016,32,100,60,63.93978404998779
stochastic_selection_eval,create_one_change_neighbors,1827785.8927396438,64,100,60,123.93392896652222
stochastic_selection_eval,create_one_change_neighbors,52155.269309747426,2,100,80,0.4961709976196289
stochastic_selection_eval,create_one_change_neighbors,270549.5001084879,4,100,80,1.490426778793335
stochastic_selection_eval,create_one_change_neighbors,1854563.6442353164,8,100,80,11.921134233474731
stochastic_selection_eval,create_one_change_neighbors,2506583.478003456,16,100,80,30.774484157562256
stochastic_selection_eval,create_one_change_neighbors,2507048.428203909,32,100,80,62.30146026611328
stochastic_selection_eval,create_one_change_neighbors,2508366.848756821,64,100,80,122.55102515220642
stochastic_selection_eval,create_one_change_neighbors,-152751.7191559234,2,100,100,0.15117406845092773
stochastic_selection_eval,create_one_change_neighbors,1418282.0396407247,4,100,100,3.809081792831421
stochastic_selection_eval,create_one_change_neighbors,3181084.2609883617,8,100,100,15.506422996520996
stochastic_selection_eval,create_one_change_neighbors,3182221.9364987584,16,100,100,33.469337701797485
stochastic_selection_eval,create_one_change_neighbors,3180934.997171063,32,100,100,66.94895005226135
stochastic_selection_eval,create_one_change_neighbors,3182218.1396420873,64,100,100,124.45659804344177
